,wealth_E,wealth_W,food_E,food_W
0,5.0,5.0,3.0,3.0
1,4.96800129062672,5.08199870937328,3.1879841186120954,2.7913439209252697
2,5.002107679228985,5.3899951601498,3.1929579742925194,2.593870065244846
3,4.974280021716481,5.489213598491468,3.6535077771989326,2.496507713065036
4,4.986797090536223,5.598353880667304,3.9696455331264655,2.296342223566877
5,4.939947780142804,5.718408191060723,3.989696102344575,2.042035654348767
6,4.902909167993662,5.956760553209865,4.1299389607901995,1.8373723959031432
7,4.83346534864804,6.102026268785902,3.8226849629266155,1.28191735375805
8,4.746553320507948,6.056036042212631,3.541908185712634,0.7481303831720321
9,4.677961245160942,6.090332079886133,3.8465518349529275,0.6755704881831253
10,4.623733013113384,6.4393037733086915,4.397957257640725,0.5957546036953276
11,4.540736601943508,6.823172636073505,5.09967408234763,0.7497718821814345
12,4.398080766638008,7.245428385114801,6.185626426701312,0.9191908885161522
13,4.325902989782708,7.709909709060226,6.458920083107178,0.5203600970414455
14,4.246507435241878,8.220839165400193,6.759543105153632,0.08164622641926789
15,4.159172325246965,8.281596688197101,5.975511183321079,0.0
16,3.950309916776183,8.101410241016511,5.342986501310024,0.0
17,3.8032767116076664,7.929890084944273,6.417519677534463,0.2836526307896212
18,3.6870336802044372,8.239307576391669,7.5995061713813445,0.15592260252556467
19,3.5091235019505316,8.579666816983803,9.715720074608452,0.40239774291182595
20,3.313422305871236,8.652717735443403,12.043555368158271,0.9927773888050098
21,3.0981509901840103,9.064552416559886,12.629384591873873,0.3545251336987154
22,2.9279595679065418,9.517570565788018,13.273796737961034,0.0
23,2.667481275924999,9.246135944083383,11.29446775676061,0.0
24,2.461549654969262,8.994367479828236,9.44576149700525,0.0
25,2.057716971425238,8.759518677864955,12.65264674333775,0.38838281191056945
26,1.7110203647978044,8.8421821220325,15.186339765119062,0.5145481135424244
27,1.3296540975076274,8.933111910616802,19.722632207643116,1.2494204124476127
28,0.9101512034884328,7.0331346780595325,24.712553894419575,2.0577799412433198
29,0.4486980200673185,7.188546439760681,25.968330862947322,1.7929442785933505
30,0.08387759171535292,7.359499377631944,26.54968552832785,2.301625049678384
31,0.0,8.151644819403595,22.147080027065535,0.6478191019039983
32,0.0,8.09269510177799,18.315580802897244,0.0
33,0.0,7.673927249265907,22.932132190555443,1.9805620716454841
34,0.0,7.882132085811858,27.692672149841172,3.8886738848112232
35,0.0,8.111157406012403,34.33801064976795,6.257331146618769
36,0.0,9.172393122147184,43.784461789118815,7.5428541346070705
37,0.0,10.339752409895445,45.592084707802314,6.441844282922024
38,0.0,6.62384762641853,46.38239098310257,6.430733446068473
39,0.0,6.4280573707283875,33.17005270223402,2.6085772384421126
40,0.0,8.628125842843184,13.63648059327862,3.7085307118082493
41,0.0,11.04820116216946,7.613598969783233,6.448394003054581
42,0.0,9.670574688135487,3.2718567810197854,11.073265689591782
43,0.0,8.748865824520283,0.003002587453767802,17.223899108452418
44,0.0,8.973473134752886,0.0,29.08571895650183
45,1.2290633591688889,9.163670065964777,0.02359537289980551,24.046558092567285
46,0.0,10.007936594053602,10.741182446488398,27.785221776874135
47,0.0,12.71507488081999,0.544840164635076,20.778178339120004
48,1.7111833310537907,8.354736953646968,0.0,2.0227788690326456
49,3.42366991376028,6.0024285619002296,27.438386382321248,19.10815576399047
50,0.0,11.94399976689003,50.98612414179643,33.46202465369076
